Image,Prompt,Extended_Prompt,Steps,Seed,Path
image_1.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, red dress, highly detailed, by aleksi briclot. facial detail. hyper realistic. hyper real. High resolution. Art station",2,874566340522611778,./drive/MyDrive/collection/image_1.png
image_2.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, grapple, red lips, cry, pose, medium shot, mid-shot, highly detailed, trending on Artstation,",2,788971765385920206,./drive/MyDrive/collection/image_2.png
image_3.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, background depicting blue and yellow flowers in destroyed city, red sunset, full body portrait, intricate, elegant, highly detailed,",2,976219930445736935,./drive/MyDrive/collection/image_3.png
image_4.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, Intricate, illustration, highly detailed, concept art, smooth, sharp focus, art by gustav klimt, art by artgerm and",2,765125093795481812,./drive/MyDrive/collection/image_4.png
image_5.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, background: assam tea garden kazi  Inai, fantasy character portrait, highly detailed,  artstation, d&d",2,841692815613480364,./drive/MyDrive/collection/image_5.png
image_6.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, red hair, needles, triangless, fantasy character portrait by greg rutkowski, craig mullins, Gaston Bussiere, matte painting,",2,382957871185703752,./drive/MyDrive/collection/image_6.png
image_7.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, background: mountains, clouds, sunset, desert, oil painting by frazetta, artstation, deviantart, by WLOP, 8K",2,948729726143622620,./drive/MyDrive/collection/image_7.png
image_8.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, background, photorealistic, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by",2,940009522420749990,./drive/MyDrive/collection/image_8.png
image_9.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, backround: assam tea garden, temple of eden, art by greg rutkowski and artgerm and ilya kuvshinov, portrait, intricate,",2,649989526533567621,./drive/MyDrive/collection/image_9.png
image_10.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, 8k, artstation,  wallpaper, cinematic, god rays, dof, bokeh, ultra detailed, unreal engine render,",2,801888648638710370,./drive/MyDrive/collection/image_10.png
image_11.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, Aesthetics, portrait, intricate, elegant, highly detailed, artstation, concept art, smooth, sharp focus, illustration,",2,842902237800369788,./drive/MyDrive/collection/image_11.png
image_12.png,"sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
","sexy woman ,  flowing blonde hair, white dress, red lipstick , serious expression, lingerie, full body,sexy panties
, background: battle, sand. in style of Martine Johanna, Alyssa Monks, (((Francis Bacon))), Edward Robert Hughes,Stanisław",2,214393241266403880,./drive/MyDrive/collection/image_12.png
