Image,Prompt,Extended_Prompt,Steps,Seed,Path
image_1.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, pino daeni, thomas kinkade, artgerm, Finnian MacManus, featured on",2,248254567299565610,collection/image_1.png
image_2.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, artstation, concept art, art by artgerm and greg rutkowski and alphonse",2,108333480574634641,collection/image_2.png
image_3.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, artstation, concept art, matte, sharp focus, illustration, art",2,36608996416373439,collection/image_3.png
image_4.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, tending on artstation, highly detailed, digital illustration, character design,",2,447403005382475809,collection/image_4.png
image_5.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
,  digital painting, artstation, concept art, smooth, sharp focus, illustration",2,650118542098183953,collection/image_5.png
image_6.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, abstraction, artstation, by Jason Felix by Steve Argyle by Tyler Jacobson by Peter",2,704002340744798814,collection/image_6.png
image_7.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, Gaston Bussiere and Jovana Ruxing and da silva, octane",2,128734313429293972,collection/image_7.png
image_8.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, aubrey beardsley, camille rose, sophie anderson, sandro botticelli, hard light,",2,202824085125137518,collection/image_8.png
image_9.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
,  digital painting, artstation, character concept art, smooth, sharp focus,",2,325674959786471417,collection/image_9.png
image_10.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, chuck close  , artstation, artbook, illustration, art,Kyo",2,789011160722218350,collection/image_10.png
image_11.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, chuck close, artstation, concept art, matte, sharp focus,",2,108653473192884665,collection/image_11.png
image_12.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, oil painting, artstation, concept art, smooth, sharp focus,",2,763595201484492556,collection/image_12.png
image_13.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, oil painting by, artstation, concept art, ,with sharp focus,",2,909972656893243884,collection/image_13.png
image_14.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
,  artstation, concept art, matte, sharp focus, illustration, art by",2,800396471912968455,collection/image_14.png
image_15.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, beksinski, peter mohrbacher, ruan jia, bussiere,  jason edmiston",2,137242981349319561,collection/image_15.png
image_16.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, artstation, concept art, art by artgerm and greg rutkowski and rossdraws",2,818194431100299574,collection/image_16.png
image_17.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, mucha, chuck close, artstation, concept art, smooth, sharp focus,",2,931164726142168588,collection/image_17.png
image_18.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
,  digital painting, artstation, concept art, smooth, sharp focus, illustration",2,227198345270198274,collection/image_18.png
image_19.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
,   artstation,  concept art,  illustration, ,  painting by",2,800552677153934635,collection/image_19.png
image_20.png,"sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
","sexy woman ,  flowing blonde hair., white dress with a red floral pattern, has red lipstick , serious expression,  fantasy, intricate, elegant, highly detailed 
, Emen,  artstation, concept art, addiction, chains, smooth,",2,116669276502237353,collection/image_20.png
