Image,Prompt,Extended_Prompt,Steps,Seed,Path
image_1.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, Rene Lalique Style, golden ratio, light makeup, red lips, white eyes, intricate, elegant, highly detailed, centered",2,207985253372092112,collection/image_1.png
image_2.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, backround: red, sunny day, medium shot, close up, highly detailed, realistic, masterpiece, artstation, art by",2,24466264874932349,collection/image_2.png
image_3.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, simple illustration, domestic, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art",2,864773529503940026,collection/image_3.png
image_4.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, background is a minimalistic office. hyper-realistic, 4K, dramatic lighting -W 1000D Mark Zuckerberg as a real",2,50201045606647771,collection/image_4.png
image_5.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, dreamy, desaturated, long shot, portrait, wide shot, full body, beauty, art by hr giger, trending on",2,352312342389688951,collection/image_5.png
image_6.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
,  close-up, cinematic lighting, highly detailed, sharp focus, golden art by Artgerm and Hajime Sorayama,  ",2,36324758799726356,collection/image_6.png
image_7.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, New Mexico, backround: assam tea garden kazi, hills, highly detailed, realistic,cinematic lighting, 8k,",2,972955688536916856,collection/image_7.png
image_8.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
,  Intricate, concept art, artstation, by  Ayami Kojima, Amano, Karol Bak, Greg Hildebrandt  and Mark Brooks",2,310624770404465592,collection/image_8.png
image_9.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, simple, ethereal, soft lighting, subtle, golden ratio, details, smooth, sharp focus, illustration, realistic, cinematic",2,249712752735353838,collection/image_9.png
image_10.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
,  portrait illustration by moebius and alphonse mucha, Artstation, 8k, face enhance, ultra detailed, cinematic lighting, haze",2,376398520804370935,collection/image_10.png
image_11.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, dreamy and ethereal, in the style of rembrandt.  oil painting. 1811. masterpiece.  dreamlike. artstation.",2,376940252365705375,collection/image_11.png
image_12.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, dreamy, mysterious, soft lighting, wojtek fus,  by Makoto Shinkai and Ilya Kuvshinov and Alphonse Mucha, fantasy, intricate",2,272519849397950001,collection/image_12.png
image_13.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, trending on artstation.  by Yoann Lossel, by Artgerm, by wlop, illustration, painting, highly detailed, oil on",2,650891477230141112,collection/image_13.png
image_14.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
,  Intricate. hyper detailed, background fortress. photorealistic. 12x(background is (city) ++++++ (ai",2,749806159426356636,collection/image_14.png
image_15.png,"sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
","sexy woman,  flowing blonde hair, white dress with a red floral pattern, has red lipstick , serious expression. 
, in the background is the room, medieval time, adventure time,  detailed, depth-of-field, cinematic,",2,935933742417521375,collection/image_15.png
